cohort,event_type,feature,auc,n_events,n_controls
mimic,variability,pnn50_mean,0.5331166682749969,578,251
mimic,variability,pnn50_std,0.5278535745770538,578,251
mimic,variability,pnn50_min,0.5114042101490233,578,251
mimic,variability,pnn50_max,0.5374729455878907,578,251
mimic,variability,pnn50_slope,0.5011374168000674,578,251
mimic,variability,arv_mean,0.5370972855980921,578,251
mimic,variability,arv_std,0.5046807438814491,578,251
mimic,variability,arv_min,0.5234012048691049,578,251
mimic,variability,arv_max,0.5251002908780105,578,251
mimic,variability,arv_slope,0.5134313477686971,578,251
mimic,variability,cv_pa_mean,0.5395235666331215,578,251
mimic,variability,cv_pa_std,0.5306102458614947,578,251
mimic,variability,cv_pa_min,0.5329753649760818,578,251
mimic,variability,cv_pa_max,0.5281296957498725,578,251
mimic,variability,cv_pa_slope,0.510735248687056,578,251
mimic,variability,std_pa_mean,0.533071864789975,578,251
mimic,variability,std_pa_std,0.5361165918027511,578,251
mimic,variability,std_pa_min,0.5315623319869311,578,251
mimic,variability,std_pa_max,0.533768042018776,578,251
mimic,variability,std_pa_slope,0.5018325048445531,578,251
mimic,variability,rsa_mean,0.5208249445424662,578,251
mimic,variability,rsa_std,0.5475377254324623,578,251
mimic,variability,rsa_min,0.5257008148413879,578,251
mimic,variability,rsa_max,0.5500289184499711,578,251
mimic,variability,rsa_slope,0.5067144532200615,578,251
vitaldb,hypotension,brs_mean,0.5997056199821588,505,483
vitaldb,hypotension,brs_std,0.584088175093364,505,483
vitaldb,hypotension,brs_min,0.5763024085637823,505,483
vitaldb,hypotension,brs_max,0.5823595004460302,505,483
vitaldb,hypotension,brs_slope,0.5246541358829494,505,483
vitaldb,hypotension,sdnn_mean,0.6443351167414878,505,483
vitaldb,hypotension,sdnn_std,0.6366627566727504,505,483
vitaldb,hypotension,sdnn_min,0.5069327429637374,505,483
vitaldb,hypotension,sdnn_max,0.6741979788040916,505,483
vitaldb,hypotension,sdnn_slope,0.6389082192840022,505,483
vitaldb,hypotension,rmssd_mean,0.6342250374105733,505,483
vitaldb,hypotension,rmssd_std,0.6399700186748084,505,483
vitaldb,hypotension,rmssd_min,0.5023655781727241,505,483
vitaldb,hypotension,rmssd_max,0.6835823955066314,505,483
vitaldb,hypotension,rmssd_slope,0.631790338238958,505,483
vitaldb,hypotension,pnn50_mean,0.646161572679007,505,483
vitaldb,hypotension,pnn50_std,0.657476063638327,505,483
vitaldb,hypotension,pnn50_min,0.5134924051411354,505,483
vitaldb,hypotension,pnn50_max,0.7577598753664185,505,483
vitaldb,hypotension,pnn50_slope,0.6354781480622351,505,483
vitaldb,hypotension,arv_mean,0.5749625894266445,505,483
vitaldb,hypotension,arv_std,0.7260138811841778,505,483
vitaldb,hypotension,arv_min,0.5718283008425067,505,483
vitaldb,hypotension,arv_max,0.7141381218867228,505,483
vitaldb,hypotension,arv_slope,0.5784384477263159,505,483
vitaldb,hypotension,cv_pa_mean,0.6466227989258553,505,483
vitaldb,hypotension,cv_pa_std,0.6526866739784964,505,483
vitaldb,hypotension,cv_pa_min,0.5267757210503659,505,483
vitaldb,hypotension,cv_pa_max,0.6877764795113053,505,483
vitaldb,hypotension,cv_pa_slope,0.6550555426686254,505,483
vitaldb,hypotension,std_pa_mean,0.6505462968657114,505,483
vitaldb,hypotension,std_pa_std,0.6526866739784964,505,483
