PC1,PC2,cohort
8.297985864291073,-3.1214090361919147,clinic
8.297985864291073,-3.1214090361919147,clinic
-4.026269798723478,-2.640271996855845,clinic
-3.908662237646834,-2.679293717256569,clinic
-3.8170572361876705,-1.9024823479825148,clinic
-3.6835740496246667,-2.080555467255304,clinic
5.043820799776941,-2.183804455535672,clinic
-3.7429995187573777,-2.8031272751664424,clinic
-3.898321841279467,-2.614646193325343,clinic
-4.095588915604172,-2.8767674058974313,clinic
-3.974003321185198,-2.670941867264068,clinic
-3.8877126562931856,-2.587895394014856,clinic
-3.100764198912464,-1.8394150274611138,clinic
-3.76434446621048,-1.8528551281187033,clinic
-3.0215587609554104,-2.3014692085993036,clinic
5.851105721306694,-2.3961561310264297,clinic
5.901335701361643,-3.3278643952583153,clinic
-3.6606815414165967,-1.2427408178863393,clinic
-2.898435548292802,-1.9760745219426548,clinic
-3.969872294778886,-2.3486667465418822,clinic
-4.048374639676888,-2.7616757053621406,clinic
-3.4234926349194454,-0.7670404303956082,clinic
-3.412524188692545,-0.30227793740695147,clinic
-3.5598119194573514,-1.9234539603716876,clinic
11.337574982460199,-2.7446282640605566,clinic
-3.7685046575237044,-1.8921587773225212,clinic
-3.845619765960276,-2.7417050715216313,clinic
-3.722756963445757,-1.4313762930616618,clinic
-3.892659537876423,-2.9255866337517817,clinic
-3.9973454083567375,-2.8639081573169194,clinic
-4.009544440980617,-2.704693358641433,clinic
10.011355312718573,1.6550530229225238,clinic
7.578401673986165,2.1081240457986303,clinic
7.578401673986165,2.1081240457986303,clinic
7.323963135348323,1.8703240586812373,clinic
6.493598440644817,2.412630448505417,clinic
7.251625897154638,1.822293767865612,clinic
7.578401673986165,2.1081240457986303,clinic
5.98081708042628,-2.997709375844251,clinic
6.268456063166623,-2.883889329755528,clinic
2.7192903146491316,-2.394329028601915,clinic
5.98081708042628,-2.997709375844251,clinic
6.268456063166623,-2.883889329755528,clinic
2.7192903146491316,-2.394329028601915,clinic
-1.9480476066674837,-2.4426086673951244,clinic
-2.4851443582885766,-1.6184895314818346,clinic
0.5046496893063671,-2.522820380513211,clinic
5.735128842976441,-2.7821415964864165,clinic
-0.9337065375017942,-2.458267581965178,clinic
5.98081708042628,-2.997709375844251,clinic
6.268456063166623,-2.883889329755528,clinic
2.7192903146491316,-2.394329028601915,clinic
-0.4519572533582738,3.1015543654978717,clinic
0.603002657124821,2.821887889036198,clinic
-2.3468068640558952,-0.4373773013381586,clinic
0.557646168382511,2.129796545197135,clinic
-1.7828693731719212,1.5822851428486637,clinic
1.099802568867361,2.913968840607823,clinic
-0.6010175326338185,2.26700129955588,clinic
-0.2241733403553435,1.7840513394117643,clinic
-0.9387377988520283,2.528911641046103,clinic
-0.9388322908510459,2.9877884448236953,clinic
0.25237097294840394,2.978177838241271,clinic
-0.9388322908510459,2.9877884448236953,clinic
0.25237097294840394,2.978177838241271,clinic
-0.49947840540114524,2.8995725943410555,clinic
-0.43470490995513456,0.9827497009095294,clinic
-1.2374086512451894,1.0462099761782686,clinic
-0.9120925519481822,0.5968810003242403,clinic
-0.9388322908510459,2.9877884448236953,clinic
0.25237097294840394,2.978177838241271,clinic
-0.6994148176955508,-1.8454356817740178,clinic
0.4108408558132545,-2.760270954476778,clinic
-1.2958029017649997,-2.837328257809269,clinic
-2.3473915831049976,-3.1611144003010083,clinic
-1.9197004181655104,-2.043447265067747,clinic
-0.8044021167790759,-2.2563431595820314,clinic
3.9020748648204573,0.3713831544306481,clinic
4.739412250131631,-3.0125053728449736,clinic
0.4108408558132545,-2.760270954476778,clinic
-1.2958029017649997,-2.837328257809269,clinic
-2.3473915831049976,-3.1611144003010083,clinic
0.3102459420003833,1.2548146115897056,clinic
