event_type,curve,fpr,tpr,auc
hypotension,clinic_apparent,0.0903954802259887,0.4090909090909091,0.7505050505050506
hypotension,clinic_apparent,0.09265536723163842,0.4090909090909091,0.7505050505050506
hypotension,clinic_apparent,0.09491525423728814,0.4090909090909091,0.7505050505050506
hypotension,clinic_apparent,0.09491525423728814,0.4393939393939394,0.7505050505050506
hypotension,clinic_apparent,0.10282485875706214,0.4393939393939394,0.7505050505050506
hypotension,clinic_apparent,0.10734463276836158,0.4393939393939394,0.7505050505050506
hypotension,clinic_apparent,0.11864406779661017,0.4393939393939394,0.7505050505050506
hypotension,clinic_apparent,0.12090395480225989,0.4393939393939394,0.7505050505050506
hypotension,clinic_apparent,0.12316384180790961,0.4393939393939394,0.7505050505050506
hypotension,clinic_apparent,0.12542372881355932,0.4393939393939394,0.7505050505050506
hypotension,clinic_apparent,0.1288135593220339,0.4393939393939394,0.7505050505050506
hypotension,clinic_apparent,0.1288135593220339,0.4696969696969697,0.7505050505050506
hypotension,clinic_apparent,0.13220338983050847,0.4696969696969697,0.7505050505050506
hypotension,clinic_apparent,0.13220338983050847,0.48484848484848486,0.7505050505050506
hypotension,clinic_apparent,0.1344632768361582,0.48484848484848486,0.7505050505050506
hypotension,clinic_apparent,0.1367231638418079,0.48484848484848486,0.7505050505050506
hypotension,clinic_apparent,0.13898305084745763,0.48484848484848486,0.7505050505050506
hypotension,clinic_apparent,0.14124293785310735,0.48484848484848486,0.7505050505050506
hypotension,clinic_apparent,0.14350282485875707,0.48484848484848486,0.7505050505050506
hypotension,clinic_apparent,0.16610169491525423,0.48484848484848486,0.7505050505050506
hypotension,clinic_apparent,0.16610169491525423,0.5,0.7505050505050506
hypotension,clinic_apparent,0.16836158192090395,0.5,0.7505050505050506
hypotension,clinic_apparent,0.17401129943502824,0.5,0.7505050505050506
hypotension,clinic_apparent,0.17627118644067796,0.5,0.7505050505050506
hypotension,clinic_apparent,0.1807909604519774,0.5,0.7505050505050506
hypotension,clinic_apparent,0.18305084745762712,0.5,0.7505050505050506
hypotension,clinic_apparent,0.1864406779661017,0.5,0.7505050505050506
hypotension,clinic_apparent,0.18870056497175142,0.5,0.7505050505050506
hypotension,clinic_apparent,0.18870056497175142,0.5151515151515151,0.7505050505050506
hypotension,clinic_apparent,0.19096045197740114,0.5151515151515151,0.7505050505050506
hypotension,clinic_apparent,0.19322033898305085,0.5151515151515151,0.7505050505050506
hypotension,clinic_apparent,0.19548022598870057,0.5151515151515151,0.7505050505050506
hypotension,clinic_apparent,0.1977401129943503,0.5151515151515151,0.7505050505050506
hypotension,clinic_apparent,0.19887005649717515,0.5151515151515151,0.7505050505050506
hypotension,clinic_apparent,0.19887005649717515,0.5303030303030303,0.7505050505050506
hypotension,clinic_apparent,0.2,0.5303030303030303,0.7505050505050506
hypotension,clinic_apparent,0.20225988700564973,0.5303030303030303,0.7505050505050506
hypotension,clinic_apparent,0.20677966101694914,0.5303030303030303,0.7505050505050506
hypotension,clinic_apparent,0.21129943502824858,0.5303030303030303,0.7505050505050506
hypotension,clinic_apparent,0.21807909604519773,0.5303030303030303,0.7505050505050506
hypotension,clinic_apparent,0.22033898305084745,0.5303030303030303,0.7505050505050506
hypotension,clinic_apparent,0.2271186440677966,0.5303030303030303,0.7505050505050506
hypotension,clinic_apparent,0.23389830508474577,0.5303030303030303,0.7505050505050506
hypotension,clinic_apparent,0.23728813559322035,0.5303030303030303,0.7505050505050506
hypotension,clinic_apparent,0.23728813559322035,0.5454545454545454,0.7505050505050506
hypotension,clinic_apparent,0.24293785310734464,0.5454545454545454,0.7505050505050506
hypotension,clinic_apparent,0.24293785310734464,0.5606060606060606,0.7505050505050506
hypotension,clinic_apparent,0.24519774011299436,0.5606060606060606,0.7505050505050506
hypotension,clinic_apparent,0.24858757062146894,0.5606060606060606,0.7505050505050506
hypotension,clinic_apparent,0.24858757062146894,0.5909090909090909,0.7505050505050506
hypotension,clinic_apparent,0.25084745762711863,0.5909090909090909,0.7505050505050506
hypotension,clinic_apparent,0.2790960451977401,0.5909090909090909,0.7505050505050506
hypotension,clinic_apparent,0.28135593220338984,0.5909090909090909,0.7505050505050506
hypotension,clinic_apparent,0.2858757062146893,0.5909090909090909,0.7505050505050506
hypotension,clinic_apparent,0.288135593220339,0.5909090909090909,0.7505050505050506
hypotension,clinic_apparent,0.28926553672316385,0.5909090909090909,0.7505050505050506
hypotension,clinic_apparent,0.2937853107344633,0.5909090909090909,0.7505050505050506
hypotension,clinic_apparent,0.29491525423728815,0.5909090909090909,0.7505050505050506
hypotension,clinic_apparent,0.29491525423728815,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.30056497175141245,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.30282485875706217,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.30847457627118646,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.3107344632768362,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.3163841807909605,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.32090395480225986,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.3367231638418079,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.3389830508474576,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.34350282485875705,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.34576271186440677,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.3638418079096045,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.36610169491525424,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.3672316384180791,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.3694915254237288,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.384180790960452,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.3887005649717514,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.39322033898305087,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.3954802259887006,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.3977401129943503,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.4,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.40225988700564974,0.6060606060606061,0.7505050505050506
hypotension,clinic_apparent,0.40225988700564974,0.6363636363636364,0.7505050505050506
hypotension,clinic_apparent,0.4090395480225989,0.6363636363636364,0.7505050505050506
hypotension,clinic_apparent,0.4090395480225989,0.696969696969697,0.7505050505050506
hypotension,clinic_apparent,0.415819209039548,0.696969696969697,0.7505050505050506
hypotension,clinic_apparent,0.42259887005649716,0.696969696969697,0.7505050505050506
hypotension,clinic_apparent,0.43050847457627117,0.696969696969697,0.7505050505050506
hypotension,clinic_apparent,0.43050847457627117,0.7272727272727273,0.7505050505050506
hypotension,clinic_apparent,0.4327683615819209,0.7272727272727273,0.7505050505050506
hypotension,clinic_apparent,0.43728813559322033,0.7272727272727273,0.7505050505050506
hypotension,clinic_apparent,0.43954802259887005,0.7272727272727273,0.7505050505050506
hypotension,clinic_apparent,0.4440677966101695,0.7272727272727273,0.7505050505050506
hypotension,clinic_apparent,0.4440677966101695,0.7575757575757576,0.7505050505050506
hypotension,clinic_apparent,0.4463276836158192,0.7575757575757576,0.7505050505050506
hypotension,clinic_apparent,0.45084745762711864,0.7575757575757576,0.7505050505050506
hypotension,clinic_apparent,0.45084745762711864,0.7727272727272727,0.7505050505050506
hypotension,clinic_apparent,0.4542372881355932,0.7727272727272727,0.7505050505050506
hypotension,clinic_apparent,0.4542372881355932,0.7878787878787878,0.7505050505050506
hypotension,clinic_apparent,0.4576271186440678,0.7878787878787878,0.7505050505050506
hypotension,clinic_apparent,0.4598870056497175,0.7878787878787878,0.7505050505050506
hypotension,clinic_apparent,0.47570621468926555,0.7878787878787878,0.7505050505050506
hypotension,clinic_apparent,0.47796610169491527,0.7878787878787878,0.7505050505050506
hypotension,clinic_apparent,0.480225988700565,0.7878787878787878,0.7505050505050506
hypotension,clinic_apparent,0.480225988700565,0.8181818181818182,0.7505050505050506
hypotension,clinic_apparent,0.48135593220338985,0.8181818181818182,0.7505050505050506
hypotension,clinic_apparent,0.48361581920903957,0.8181818181818182,0.7505050505050506
hypotension,clinic_apparent,0.49265536723163844,0.8181818181818182,0.7505050505050506
hypotension,clinic_apparent,0.49265536723163844,0.8333333333333334,0.7505050505050506
hypotension,clinic_apparent,0.49491525423728816,0.8333333333333334,0.7505050505050506
hypotension,clinic_apparent,0.4971751412429379,0.8333333333333334,0.7505050505050506
hypotension,clinic_apparent,0.4994350282485876,0.8333333333333334,0.7505050505050506
hypotension,clinic_apparent,0.5016949152542373,0.8333333333333334,0.7505050505050506
hypotension,clinic_apparent,0.5028248587570622,0.8333333333333334,0.7505050505050506
hypotension,clinic_apparent,0.5028248587570622,0.8636363636363636,0.7505050505050506
hypotension,clinic_apparent,0.5062146892655367,0.8636363636363636,0.7505050505050506
hypotension,clinic_apparent,0.5107344632768361,0.8636363636363636,0.7505050505050506
hypotension,clinic_apparent,0.5141242937853108,0.8636363636363636,0.7505050505050506
hypotension,clinic_apparent,0.5141242937853108,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5242937853107345,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5265536723163842,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5276836158192091,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5299435028248588,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.536723163841808,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5389830508474577,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5412429378531074,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5435028248587571,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5457627118644067,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5480225988700564,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5548022598870056,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5570621468926553,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5581920903954802,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.56045197740113,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5649717514124294,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5672316384180791,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5706214689265536,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5751412429378531,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5774011299435028,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.5796610169491525,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.584180790960452,0.8787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.584180790960452,0.8939393939393939,0.7505050505050506
hypotension,clinic_apparent,0.5909604519774011,0.8939393939393939,0.7505050505050506
hypotension,clinic_apparent,0.5932203389830508,0.8939393939393939,0.7505050505050506
hypotension,clinic_apparent,0.5932203389830508,0.9242424242424242,0.7505050505050506
hypotension,clinic_apparent,0.5943502824858757,0.9242424242424242,0.7505050505050506
hypotension,clinic_apparent,0.5943502824858757,0.9545454545454546,0.7505050505050506
hypotension,clinic_apparent,0.5966101694915255,0.9545454545454546,0.7505050505050506
hypotension,clinic_apparent,0.5988700564971752,0.9545454545454546,0.7505050505050506
hypotension,clinic_apparent,0.6,0.9545454545454546,0.7505050505050506
hypotension,clinic_apparent,0.6022598870056497,0.9545454545454546,0.7505050505050506
hypotension,clinic_apparent,0.6033898305084746,0.9545454545454546,0.7505050505050506
hypotension,clinic_apparent,0.607909604519774,0.9545454545454546,0.7505050505050506
hypotension,clinic_apparent,0.6101694915254238,0.9545454545454546,0.7505050505050506
hypotension,clinic_apparent,0.6146892655367232,0.9545454545454546,0.7505050505050506
hypotension,clinic_apparent,0.6169491525423729,0.9545454545454546,0.7505050505050506
hypotension,clinic_apparent,0.6192090395480226,0.9545454545454546,0.7505050505050506
hypotension,clinic_apparent,0.6214689265536724,0.9545454545454546,0.7505050505050506
hypotension,clinic_apparent,0.6237288135593221,0.9545454545454546,0.7505050505050506
hypotension,clinic_apparent,0.6293785310734463,0.9545454545454546,0.7505050505050506
hypotension,clinic_apparent,0.631638418079096,0.9545454545454546,0.7505050505050506
hypotension,clinic_apparent,0.6406779661016949,0.9545454545454546,0.7505050505050506
